INFO:__main__:Epoch 1: Train_loss=0.5266, Train_acc=0.7604, Train_f1=0.7569
INFO:__main__:Epoch 1: Val_loss=0.5446, Val_acc=0.7515, Val_f1=0.7037
INFO:__main__:Epoch 1: Test_loss=0.5443, Test_acc=0.7534, Test_f1=0.7055
INFO:__main__:Epoch 2: Train_loss=0.4291, Train_acc=0.8430, Train_f1=0.8389
INFO:__main__:Epoch 2: Val_loss=0.5709, Val_acc=0.7715, Val_f1=0.7407
INFO:__main__:Epoch 2: Test_loss=0.5278, Test_acc=0.7940, Test_f1=0.7548
INFO:__main__:Epoch 3: Train_loss=0.3262, Train_acc=0.8871, Train_f1=0.8845
INFO:__main__:Epoch 3: Val_loss=0.7425, Val_acc=0.7923, Val_f1=0.7873
INFO:__main__:Epoch 3: Test_loss=0.5572, Test_acc=0.8130, Test_f1=0.8078
INFO:__main__:Epoch 4: Train_loss=0.2669, Train_acc=0.9160, Train_f1=0.9143
INFO:__main__:Epoch 4: Val_loss=0.9806, Val_acc=0.7897, Val_f1=0.7928
INFO:__main__:Epoch 4: Test_loss=0.7773, Test_acc=0.8103, Test_f1=0.8098
INFO:__main__:Epoch 5: Train_loss=0.2606, Train_acc=0.9332, Train_f1=0.9321
INFO:__main__:Epoch 5: Val_loss=1.6699, Val_acc=0.7804, Val_f1=0.7812
INFO:__main__:Epoch 5: Test_loss=1.3816, Test_acc=0.8103, Test_f1=0.8056
INFO:__main__:Epoch 6: Train_loss=0.1189, Train_acc=0.9580, Train_f1=0.9573
INFO:__main__:Epoch 6: Val_loss=1.4421, Val_acc=0.7824, Val_f1=0.7766
INFO:__main__:Epoch 6: Test_loss=1.3849, Test_acc=0.7940, Test_f1=0.7829
INFO:__main__:Epoch 7: Train_loss=0.0722, Train_acc=0.9725, Train_f1=0.9722
INFO:__main__:Epoch 7: Val_loss=1.6967, Val_acc=0.7874, Val_f1=0.7852
INFO:__main__:Epoch 7: Test_loss=1.4555, Test_acc=0.8103, Test_f1=0.8000
INFO:__main__:Epoch 8: Train_loss=0.0592, Train_acc=0.9770, Train_f1=0.9768
INFO:__main__:Epoch 8: Val_loss=1.7475, Val_acc=0.7875, Val_f1=0.7854
INFO:__main__:Epoch 8: Test_loss=1.5110, Test_acc=0.8103, Test_f1=0.8000
INFO:__main__:Epoch 9: Train_loss=0.0481, Train_acc=0.9821, Train_f1=0.9820
INFO:__main__:Epoch 9: Val_loss=1.9589, Val_acc=0.7932, Val_f1=0.7893
INFO:__main__:Epoch 9: Test_loss=1.7069, Test_acc=0.8130, Test_f1=0.8000
INFO:__main__:Epoch 10: Train_loss=0.0405, Train_acc=0.9841, Train_f1=0.9840
