INFO:__main__:Epoch 1: Train_loss=0.4389, Train_acc=0.7986, Train_f1=0.8009
INFO:__main__:Epoch 1: Val_loss=0.3731, Val_acc=0.8446, Val_f1=0.8352
INFO:__main__:Epoch 1: Test_loss=0.4155, Test_acc=0.8266, Test_f1=0.8084
INFO:__main__:Epoch 2: Train_loss=0.1824, Train_acc=0.9335, Train_f1=0.9334
INFO:__main__:Epoch 2: Val_loss=0.3874, Val_acc=0.8440, Val_f1=0.8450
INFO:__main__:Epoch 2: Test_loss=0.3996, Test_acc=0.8428, Test_f1=0.8398
INFO:__main__:Epoch 3: Train_loss=0.0743, Train_acc=0.9756, Train_f1=0.9756
INFO:__main__:Epoch 3: Val_loss=0.6185, Val_acc=0.8355, Val_f1=0.8356
INFO:__main__:Epoch 3: Test_loss=0.5915, Test_acc=0.8564, Test_f1=0.8532
INFO:__main__:Epoch 4: Train_loss=0.0437, Train_acc=0.9852, Train_f1=0.9852
INFO:__main__:Epoch 4: Val_loss=0.8074, Val_acc=0.8255, Val_f1=0.8234
INFO:__main__:Epoch 4: Test_loss=0.8751, Test_acc=0.8211, Test_f1=0.8103
INFO:__main__:Epoch 5: Train_loss=0.0557, Train_acc=0.9798, Train_f1=0.9798
INFO:__main__:Epoch 5: Val_loss=0.7102, Val_acc=0.8026, Val_f1=0.8157
INFO:__main__:Epoch 5: Test_loss=0.6060, Test_acc=0.8320, Test_f1=0.8315
INFO:__main__:Epoch 6: Train_loss=0.0425, Train_acc=0.9851, Train_f1=0.9852
INFO:__main__:Epoch 6: Val_loss=0.7993, Val_acc=0.8222, Val_f1=0.8227
INFO:__main__:Epoch 6: Test_loss=0.8000, Test_acc=0.8103, Test_f1=0.7965
INFO:__main__:Epoch 7: Train_loss=0.0257, Train_acc=0.9914, Train_f1=0.9915
INFO:__main__:Epoch 7: Val_loss=0.8432, Val_acc=0.8220, Val_f1=0.8213
INFO:__main__:Epoch 7: Test_loss=0.8613, Test_acc=0.8049, Test_f1=0.7907
INFO:__main__:Epoch 8: Train_loss=0.0177, Train_acc=0.9945, Train_f1=0.9946
INFO:__main__:Epoch 8: Val_loss=0.9283, Val_acc=0.8206, Val_f1=0.8202
INFO:__main__:Epoch 8: Test_loss=1.0960, Test_acc=0.7940, Test_f1=0.7751
INFO:__main__:Epoch 9: Train_loss=0.0131, Train_acc=0.9959, Train_f1=0.9960
INFO:__main__:Epoch 9: Val_loss=1.0438, Val_acc=0.8188, Val_f1=0.8147
INFO:__main__:Epoch 9: Test_loss=1.1810, Test_acc=0.7967, Test_f1=0.7788
INFO:__main__:Epoch 10: Train_loss=0.0097, Train_acc=0.9965, Train_f1=0.9965
INFO:__main__:Epoch 10: Val_loss=1.1262, Val_acc=0.8215, Val_f1=0.8217
INFO:__main__:Epoch 10: Test_loss=1.0455, Test_acc=0.8293, Test_f1=0.8195
