INFO:__main__:Epoch 1: Train_loss=4.7437, Train_acc=0.5208, Train_f1=0.5262
INFO:__main__:Epoch 1: Val_loss=6.4237, Val_acc=0.4983, Val_f1=0.1728
INFO:__main__:Epoch 1: Test_loss=7.4515, Test_acc=0.4851, Test_f1=0.1518
INFO:__main__:Epoch 2: Train_loss=8.8163, Train_acc=0.5109, Train_f1=0.5193
INFO:__main__:Epoch 2: Val_loss=6.6718, Val_acc=0.5022, Val_f1=0.6594
INFO:__main__:Epoch 2: Test_loss=7.2754, Test_acc=0.5203, Test_f1=0.6752
INFO:__main__:Epoch 3: Train_loss=18.4899, Train_acc=0.5171, Train_f1=0.5349
INFO:__main__:Epoch 3: Val_loss=8.9293, Val_acc=0.5033, Val_f1=0.6487
INFO:__main__:Epoch 3: Test_loss=2.8135, Test_acc=0.5366, Test_f1=0.6755
INFO:__main__:Epoch 4: Train_loss=9.1682, Train_acc=0.5126, Train_f1=0.5355
INFO:__main__:Epoch 4: Val_loss=6.4212, Val_acc=0.5056, Val_f1=0.6486
INFO:__main__:Epoch 4: Test_loss=3.5546, Test_acc=0.5149, Test_f1=0.6577
INFO:__main__:Epoch 5: Train_loss=10.3928, Train_acc=0.5203, Train_f1=0.5279
INFO:__main__:Epoch 5: Val_loss=17.5741, Val_acc=0.5081, Val_f1=0.1403
INFO:__main__:Epoch 5: Test_loss=4.3846, Test_acc=0.4770, Test_f1=0.0766
INFO:__main__:Epoch 6: Train_loss=7.4772, Train_acc=0.5257, Train_f1=0.5437
INFO:__main__:Epoch 6: Val_loss=9.4948, Val_acc=0.5111, Val_f1=0.6570
INFO:__main__:Epoch 6: Test_loss=3.9421, Test_acc=0.5339, Test_f1=0.6767
INFO:__main__:Epoch 7: Train_loss=2.3360, Train_acc=0.5325, Train_f1=0.6236
INFO:__main__:Epoch 7: Val_loss=9.2796, Val_acc=0.5067, Val_f1=0.1085
INFO:__main__:Epoch 7: Test_loss=3.6498, Test_acc=0.4932, Test_f1=0.0603
INFO:__main__:Epoch 8: Train_loss=1.7135, Train_acc=0.5277, Train_f1=0.5532
INFO:__main__:Epoch 8: Val_loss=8.0627, Val_acc=0.5090, Val_f1=0.0938
INFO:__main__:Epoch 8: Test_loss=3.3437, Test_acc=0.4986, Test_f1=0.0609
INFO:__main__:Epoch 9: Train_loss=1.2082, Train_acc=0.5377, Train_f1=0.6185
INFO:__main__:Epoch 9: Val_loss=7.6863, Val_acc=0.5136, Val_f1=0.6639
INFO:__main__:Epoch 9: Test_loss=3.3207, Test_acc=0.5230, Test_f1=0.6741
INFO:__main__:Epoch 10: Train_loss=1.2115, Train_acc=0.5406, Train_f1=0.6192
INFO:__main__:Epoch 10: Val_loss=8.6666, Val_acc=0.5152, Val_f1=0.6629
INFO:__main__:Epoch 10: Test_loss=3.6327, Test_acc=0.5230, Test_f1=0.6704
INFO:__main__:Epoch 11: Train_loss=0.7744, Train_acc=0.5414, Train_f1=0.6848
INFO:__main__:Epoch 11: Val_loss=8.5820, Val_acc=0.5157, Val_f1=0.6636
INFO:__main__:Epoch 11: Test_loss=3.5405, Test_acc=0.5230, Test_f1=0.6704
INFO:__main__:Epoch 12: Train_loss=0.8177, Train_acc=0.5420, Train_f1=0.6852
