INFO:__main__:Epoch 1: Train_loss=0.4557, Train_acc=0.7867, Train_f1=0.7849
INFO:__main__:Epoch 1: Val_loss=0.3658, Val_acc=0.8536, Val_f1=0.8506
INFO:__main__:Epoch 1: Test_loss=0.4363, Test_acc=0.8211, Test_f1=0.8103
INFO:__main__:Epoch 2: Train_loss=0.1861, Train_acc=0.9317, Train_f1=0.9314
INFO:__main__:Epoch 2: Val_loss=0.3868, Val_acc=0.8394, Val_f1=0.8357
INFO:__main__:Epoch 2: Test_loss=0.4413, Test_acc=0.8130, Test_f1=0.8000
INFO:__main__:Epoch 3: Train_loss=0.0681, Train_acc=0.9791, Train_f1=0.9791
INFO:__main__:Epoch 3: Val_loss=0.4818, Val_acc=0.8307, Val_f1=0.8311
INFO:__main__:Epoch 3: Test_loss=0.5618, Test_acc=0.8347, Test_f1=0.8291
INFO:__main__:Epoch 4: Train_loss=0.0287, Train_acc=0.9929, Train_f1=0.9929
INFO:__main__:Epoch 4: Val_loss=0.9964, Val_acc=0.8165, Val_f1=0.8241
INFO:__main__:Epoch 4: Test_loss=1.0646, Test_acc=0.8293, Test_f1=0.8329
INFO:__main__:Epoch 5: Train_loss=0.0191, Train_acc=0.9948, Train_f1=0.9948
INFO:__main__:Epoch 5: Val_loss=0.9435, Val_acc=0.8190, Val_f1=0.8242
INFO:__main__:Epoch 5: Test_loss=1.1320, Test_acc=0.8211, Test_f1=0.8235
INFO:__main__:Epoch 6: Train_loss=0.0073, Train_acc=0.9980, Train_f1=0.9980
INFO:__main__:Epoch 6: Val_loss=0.9924, Val_acc=0.8190, Val_f1=0.8252
INFO:__main__:Epoch 6: Test_loss=1.0108, Test_acc=0.8266, Test_f1=0.8289
INFO:__main__:Epoch 7: Train_loss=0.0041, Train_acc=0.9992, Train_f1=0.9992
INFO:__main__:Epoch 7: Val_loss=1.0466, Val_acc=0.8183, Val_f1=0.8230
INFO:__main__:Epoch 7: Test_loss=1.0617, Test_acc=0.8184, Test_f1=0.8184
INFO:__main__:Epoch 8: Train_loss=0.0032, Train_acc=0.9994, Train_f1=0.9994
INFO:__main__:Epoch 8: Val_loss=1.1209, Val_acc=0.8170, Val_f1=0.8234
INFO:__main__:Epoch 8: Test_loss=1.0754, Test_acc=0.8266, Test_f1=0.8280
INFO:__main__:Epoch 9: Train_loss=0.0026, Train_acc=0.9995, Train_f1=0.9995
INFO:__main__:Epoch 9: Val_loss=1.1449, Val_acc=0.8176, Val_f1=0.8232
INFO:__main__:Epoch 9: Test_loss=1.1251, Test_acc=0.8293, Test_f1=0.8302
INFO:__main__:Epoch 10: Train_loss=0.0020, Train_acc=0.9995, Train_f1=0.9995
INFO:__main__:Epoch 10: Val_loss=1.1894, Val_acc=0.8176, Val_f1=0.8215
INFO:__main__:Epoch 10: Test_loss=1.2579, Test_acc=0.8211, Test_f1=0.8197
