INFO:__main__:Epoch 1: Train_loss=0.5083, Train_acc=0.7462, Train_f1=0.7407
INFO:__main__:Epoch 1: Val_loss=0.4769, Val_acc=0.7767, Val_f1=0.7942
INFO:__main__:Epoch 1: Test_loss=0.5050, Test_acc=0.7696, Test_f1=0.7848
INFO:__main__:Epoch 2: Train_loss=0.4089, Train_acc=0.8120, Train_f1=0.8113
INFO:__main__:Epoch 2: Val_loss=0.4429, Val_acc=0.7932, Val_f1=0.7848
INFO:__main__:Epoch 2: Test_loss=0.4929, Test_acc=0.7886, Test_f1=0.7733
INFO:__main__:Epoch 3: Train_loss=0.3567, Train_acc=0.8436, Train_f1=0.8440
INFO:__main__:Epoch 3: Val_loss=0.4514, Val_acc=0.7959, Val_f1=0.8059
INFO:__main__:Epoch 3: Test_loss=0.4977, Test_acc=0.7967, Test_f1=0.8021
INFO:__main__:Epoch 4: Train_loss=0.3119, Train_acc=0.8680, Train_f1=0.8681
INFO:__main__:Epoch 4: Val_loss=0.4574, Val_acc=0.8000, Val_f1=0.8101
INFO:__main__:Epoch 4: Test_loss=0.4723, Test_acc=0.8157, Test_f1=0.8256
INFO:__main__:Epoch 5: Train_loss=0.2560, Train_acc=0.8942, Train_f1=0.8943
INFO:__main__:Epoch 5: Val_loss=0.5143, Val_acc=0.7962, Val_f1=0.7998
INFO:__main__:Epoch 5: Test_loss=0.5687, Test_acc=0.8076, Test_f1=0.8117
INFO:__main__:Epoch 6: Train_loss=0.1500, Train_acc=0.9437, Train_f1=0.9438
INFO:__main__:Epoch 6: Val_loss=0.5469, Val_acc=0.8058, Val_f1=0.7990
INFO:__main__:Epoch 6: Test_loss=0.5612, Test_acc=0.8103, Test_f1=0.8045
INFO:__main__:Epoch 7: Train_loss=0.1237, Train_acc=0.9546, Train_f1=0.9546
INFO:__main__:Epoch 7: Val_loss=0.5808, Val_acc=0.8051, Val_f1=0.8077
INFO:__main__:Epoch 7: Test_loss=0.6384, Test_acc=0.8022, Test_f1=0.8064
INFO:__main__:Epoch 8: Train_loss=0.1064, Train_acc=0.9639, Train_f1=0.9640
INFO:__main__:Epoch 8: Val_loss=0.6261, Val_acc=0.8049, Val_f1=0.8044
INFO:__main__:Epoch 8: Test_loss=0.6394, Test_acc=0.8184, Test_f1=0.8184
INFO:__main__:Epoch 9: Train_loss=0.0923, Train_acc=0.9696, Train_f1=0.9697
INFO:__main__:Epoch 9: Val_loss=0.6648, Val_acc=0.8046, Val_f1=0.8031
INFO:__main__:Epoch 9: Test_loss=0.6315, Test_acc=0.8238, Test_f1=0.8238
INFO:__main__:Epoch 10: Train_loss=0.0793, Train_acc=0.9757, Train_f1=0.9758
INFO:__main__:Epoch 10: Val_loss=0.7142, Val_acc=0.8021, Val_f1=0.7972
INFO:__main__:Epoch 10: Test_loss=0.7101, Test_acc=0.8130, Test_f1=0.8099
