INFO:__main__:Epoch 1: Train_loss=0.4731, Train_acc=0.7756, Train_f1=0.7749
INFO:__main__:Epoch 1: Val_loss=0.4020, Val_acc=0.8261, Val_f1=0.8364
INFO:__main__:Epoch 1: Test_loss=0.4045, Test_acc=0.8537, Test_f1=0.8586
INFO:__main__:Epoch 2: Train_loss=0.2615, Train_acc=0.8999, Train_f1=0.8997
INFO:__main__:Epoch 2: Val_loss=0.4178, Val_acc=0.8325, Val_f1=0.8355
INFO:__main__:Epoch 2: Test_loss=0.4029, Test_acc=0.8482, Test_f1=0.8462
INFO:__main__:Epoch 3: Train_loss=0.1254, Train_acc=0.9554, Train_f1=0.9552
INFO:__main__:Epoch 3: Val_loss=0.5399, Val_acc=0.8213, Val_f1=0.8213
INFO:__main__:Epoch 3: Test_loss=0.5151, Test_acc=0.8320, Test_f1=0.8297
INFO:__main__:Epoch 4: Train_loss=0.0709, Train_acc=0.9748, Train_f1=0.9747
INFO:__main__:Epoch 4: Val_loss=0.7700, Val_acc=0.8238, Val_f1=0.8222
INFO:__main__:Epoch 4: Test_loss=0.7305, Test_acc=0.8320, Test_f1=0.8287
INFO:__main__:Epoch 5: Train_loss=0.0593, Train_acc=0.9801, Train_f1=0.9801
INFO:__main__:Epoch 5: Val_loss=0.8579, Val_acc=0.8195, Val_f1=0.8153
INFO:__main__:Epoch 5: Test_loss=0.8622, Test_acc=0.8076, Test_f1=0.8011
INFO:__main__:Epoch 6: Train_loss=0.0295, Train_acc=0.9903, Train_f1=0.9903
INFO:__main__:Epoch 6: Val_loss=0.9362, Val_acc=0.8215, Val_f1=0.8195
INFO:__main__:Epoch 6: Test_loss=0.8528, Test_acc=0.8238, Test_f1=0.8209
INFO:__main__:Epoch 7: Train_loss=0.0194, Train_acc=0.9939, Train_f1=0.9939
INFO:__main__:Epoch 7: Val_loss=1.0097, Val_acc=0.8231, Val_f1=0.8264
INFO:__main__:Epoch 7: Test_loss=0.8616, Test_acc=0.8266, Test_f1=0.8298
INFO:__main__:Epoch 8: Train_loss=0.0115, Train_acc=0.9964, Train_f1=0.9964
INFO:__main__:Epoch 8: Val_loss=1.0897, Val_acc=0.8234, Val_f1=0.8222
INFO:__main__:Epoch 8: Test_loss=1.0762, Test_acc=0.8238, Test_f1=0.8199
INFO:__main__:Epoch 9: Train_loss=0.0092, Train_acc=0.9969, Train_f1=0.9969
INFO:__main__:Epoch 9: Val_loss=1.1522, Val_acc=0.8215, Val_f1=0.8240
INFO:__main__:Epoch 9: Test_loss=1.0198, Test_acc=0.8184, Test_f1=0.8194
INFO:__main__:Epoch 10: Train_loss=0.0070, Train_acc=0.9977, Train_f1=0.9977
INFO:__main__:Epoch 10: Val_loss=1.2094, Val_acc=0.8209, Val_f1=0.8201
INFO:__main__:Epoch 10: Test_loss=1.0643, Test_acc=0.8293, Test_f1=0.8264
